Category,Resume
Arts,"Education Details 
January 2017    Rachana Sansad School of Interior Deign
January 2013    Holy Family High School
 Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai
Drawing & Arts & Craft Teacher 

Drawing & Arts & Craft Teacher - Ghatkopar YMCA
Skill Details 
Company Details 
company - Ghatkopar YMCA
description - for 3 Years.
â Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year."
Arts,"Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I won 3 gold medals in national karate championship.
I won 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh award ..
Represented india and Selected for world karate championship held at Croatia , Europe.
â¢"
Arts,"I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Drawing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, New Delhi & North Maharashtra University, Jalgaon. I Strengths â¢ Ability to Learn From Mistakes. * Honesty â¢ Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total Work Experience ( In Months)
Sr.       Name of Organization / College        Designation              Working Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce & Science        Asst.Professor      20/07/2015    31/05/2016        10 Months
Sr. College, Parola Dist- Jalgaon, {Political Sci.)
Maharashtra
company - Bahadarpur, Tai- Parola Dist
description - "
Arts,"â¢ Good communication skill â¢ Quick learner â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building Workshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
Workshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS: â¢ Working knowledge of Windows operating system and MS Office â¢ Communicate well in English, Hindi & Marathi.
â¢ Organized and participated in events like gathering, teachers day, fashion show and various science exhibitions at college"
Arts,"â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)"
Arts,"Additional qualifications April 2000, Web Designing Course with above average computer skillsEducation Details 
January 2000 to January 2001 Bachelor of Arts Sociology Mumbai, Maharashtra The Mumbai University
January 1998 to January 2000 Bachelor of Arts Sociology  Sophia College
January 1997 to January 1998 H.S.C.   Sophia College
January 1995 to January 1996 S.S.C.   St. Teresa's Convent High School
Head business development, arts 

Head business development, arts
Skill Details 
Company Details 
company - British Council
description - Responsibilities
Ã± Strategic oversight responsibility for programmes in the performing arts (music, theatre and dance) and other cultural sectors.
Ã± lead on the conception and oversight of specific large-scale programmes within the overall Arts
programme,
Ã± Represent the British Council at external events in India and act as deputy to the Director, Arts when required.
Ã± Oversee and manage resources to deliver compelling communications for applicants that convey
British Council's grants like Charles Wallace India trust, Young Creative Entrepreneurs and
Chevening Clore scholarship programs on time and with excellence
Ã± Shortlisting and Interviewing potential applicants for existing relevant grants or fellowships.
Ã± Oversee a diverse range of proposals, progress reports and related projects
Ã± Ensuring effective and timely identification and communication of program progress
Ã± Lead a team of six project managers across the country and manage the performance of the team
responsible for executing arts projects with partnerships built into their work, expertise within their
geographic region to ensure arts insight and knowledge is available as and when required.
Ã± Managing relations with existing partners, and developing relationships with targeted new partners and key government officials and ensuring that market insight into business development
opportunities is built into the planning of new programmes
Ã± Primary strategic responsibility for the marketing of the Arts program in India, to ensure that the program builds a reputation that will be attractive to potential partners, in partnership with the
Marketing and Communications team.
company - British Council
description - is a cultural relations organization creating international opportunities for the people of the UK and other countries by building trust between them worldwide. They have offices in six continents and over 100 countries bringing international opportunity to life, every day. Each year they work with millions of people, connecting them with the United Kingdom, sharing their cultures and the UK's most attractive
assets: English, the Arts, and Education. They have 80 years' experience of doing this
company - British Council
description - Responsibilities
Ã± Leading the strategic development of British Council's work in the music sector in India/ Sri Lanka
region and building and maintaining strong international partnerships across sectors in India/ Sri
Lanka and the UK
Ã± Developing strong external partnerships that lead to significant external investment in BC activities and enabling the delivery of an ambitious programme of music sector activities and events thus
strengthening cultural relationships between India/ Sri Lanka and the UK
Ã±    Leading the implementation of the music programme within India and Sri Lanka along with detailed
project plans in liaison with colleagues from India/ Sri Lanka and the UK
Ã±    Proactive management of budgets and timelines for all projects
Ã±    Ensuring systematic evaluation of projects, including developing effective systems and processes for capturing both quantitative and qualitative information about effectiveness of projects and longer
term impact
Ã±    Management of a team across India and Sri Lanka, contributing to recruitment and development/
mentoring of staff
company - British Council
description - Responsibilities
Ã± Planning and organizing logistics related to events, buildings, performers/artists and other
personnel
Ã± Marketing a performance or event through social media, direct mail, advertising, use of a website,
producing posters or publicity leaflets and attracting media coverage
Ã± Planning and managing budgets
Ã± Programming and booking performances and events, including arrangements for tours in India
Ã± Development of new projects and initiatives in consultation with arts professionals and key
stakeholders (e.g. local authorities, local government and communities, venue directors and regional partners)
Ã± Taking responsibility for operational and office management issues such as venue accessibility,
health and safety issues
Ã± Implementing and maintaining office and information systems
Ã± Providing administration support to managers and the director
Ã± Ensuring corporate and legal requirements are complied with, and reporting to the head of the unit
company - British Council
description - Responsibilities
Ã± Developing of new specific new projects and initiatives in the music, film and visual art sector in consultation with the Council and key stakeholders
Ã± Planning and managing budgets
Ã± Supporting the marketing a performance or event through social media, direct mail, advertising, use of a website, producing posters or publicity leaflets and attracting media coverage
Ã± Programming the outreach and workshops for the respective programmes.
company - AirCheck India
description - The company intended to launch stations in both these metros on August 29, 2001.
For its Mumbai FM station, WIN had the basic infrastructure that includes a studio and production facilities.
The transmission tower for the station is located in central Mumbai.

Responsibilities
Ã± Generating and researching ideas for programmes and pitching for commissions
Ã± Sourcing potential contributors and interviewees
Ã± Selecting music appropriate to the programme, the audience and the station
Ã± Producing pre-production briefings for presenters, reporters, technical staff and other contributors
Ã± Managing the logistics of getting people, resources and equipment together to the right place at the right time
Ã± undertaking editing, interviewing and reporting duties as necessary
Ã± Presenting programmes or managing presenters for both pre-recorded and recorded output
Ã± Checking that copyrights are cleared and understanding media law
Ã± Using editing and mixing software's like 'Sonic Foundry Vegas', 'Sonic Foundry Sound Forge',
'Acid', and 'Midi'.
company - Rave Magazine
description - Rave Magazine was the definitive voice of music emerging from the Indian sub-continent and the lifestyle
that surrounds it. Through exclusive reporting, a unique sensibility, and with an editorial team with over 20
years of experience in publishing, RAVE Magazine covers every genre of music emerging from the region and provides new perspectives on International music.

Responsibilities
Ã± Maintain production schedules and report on the progress
Ã± Overview the staff, manage and supervise photographers and freelance writers and generally
provide administrative support for the editor
Ã± Participated in production meetings and brain storming sessions to decide on the direction, future
trends and contents of the publication
company - Xs Events
description - Xs Events is an event management company primarily dealing with corporate clients who used different
events to increase an audience's exposure with a brand.

Responsibilities
Ã± Development, production and delivery of projects from proposal right up to delivery.
Ã± Delivering events on time, within budget
Ã± Maintaining timelines and priorities on every project
Ã± Managing supplier relationships
Ã±    Managing operational and administrative         functions to ensure specific projects are delivered
efficiently
company - Banyan Tree Communications
description - Responsibilities
Ã± Sourcing potential contributors and interviewees
Ã± Selecting music appropriate to the programme, the audience and the station
Ã± undertaking editing, interviewing and reporting duties as necessary
Ã± Checking that copyrights are cleared and understanding media law
company - French Embassy
description - on a part time basis.
company - British Council
description - Mumbai
Advice students on various academic opportunities in the United Kingdom and assisted with various
exhibitions by the British Council."
Arts,"Education Details 
January 2017    Rachana Sansad School of Interior Deign
January 2013    Holy Family High School
 Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai
Drawing & Arts & Craft Teacher 

Drawing & Arts & Craft Teacher - Ghatkopar YMCA
Skill Details 
Company Details 
company - Ghatkopar YMCA
description - for 3 Years.
â Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year."
Arts,"Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I won 3 gold medals in national karate championship.
I won 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh award ..
Represented india and Selected for world karate championship held at Croatia , Europe.
â¢"
Arts,"I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Drawing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, New Delhi & North Maharashtra University, Jalgaon. I Strengths â¢ Ability to Learn From Mistakes. * Honesty â¢ Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total Work Experience ( In Months)
Sr.       Name of Organization / College        Designation              Working Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce & Science        Asst.Professor      20/07/2015    31/05/2016        10 Months
Sr. College, Parola Dist- Jalgaon, {Political Sci.)
Maharashtra
company - Bahadarpur, Tai- Parola Dist
description - "
Arts,"â¢ Good communication skill â¢ Quick learner â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building Workshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
Workshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS: â¢ Working knowledge of Windows operating system and MS Office â¢ Communicate well in English, Hindi & Marathi.
â¢ Organized and participated in events like gathering, teachers day, fashion show and various science exhibitions at college"
Arts,"â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)"
Arts,"Additional qualifications April 2000, Web Designing Course with above average computer skillsEducation Details 
January 2000 to January 2001 Bachelor of Arts Sociology Mumbai, Maharashtra The Mumbai University
January 1998 to January 2000 Bachelor of Arts Sociology  Sophia College
January 1997 to January 1998 H.S.C.   Sophia College
January 1995 to January 1996 S.S.C.   St. Teresa's Convent High School
Head business development, arts 

Head business development, arts
Skill Details 
Company Details 
company - British Council
description - Responsibilities
Ã± Strategic oversight responsibility for programmes in the performing arts (music, theatre and dance) and other cultural sectors.
Ã± lead on the conception and oversight of specific large-scale programmes within the overall Arts
programme,
Ã± Represent the British Council at external events in India and act as deputy to the Director, Arts when required.
Ã± Oversee and manage resources to deliver compelling communications for applicants that convey
British Council's grants like Charles Wallace India trust, Young Creative Entrepreneurs and
Chevening Clore scholarship programs on time and with excellence
Ã± Shortlisting and Interviewing potential applicants for existing relevant grants or fellowships.
Ã± Oversee a diverse range of proposals, progress reports and related projects
Ã± Ensuring effective and timely identification and communication of program progress
Ã± Lead a team of six project managers across the country and manage the performance of the team
responsible for executing arts projects with partnerships built into their work, expertise within their
geographic region to ensure arts insight and knowledge is available as and when required.
Ã± Managing relations with existing partners, and developing relationships with targeted new partners and key government officials and ensuring that market insight into business development
opportunities is built into the planning of new programmes
Ã± Primary strategic responsibility for the marketing of the Arts program in India, to ensure that the program builds a reputation that will be attractive to potential partners, in partnership with the
Marketing and Communications team.
company - British Council
description - is a cultural relations organization creating international opportunities for the people of the UK and other countries by building trust between them worldwide. They have offices in six continents and over 100 countries bringing international opportunity to life, every day. Each year they work with millions of people, connecting them with the United Kingdom, sharing their cultures and the UK's most attractive
assets: English, the Arts, and Education. They have 80 years' experience of doing this
company - British Council
description - Responsibilities
Ã± Leading the strategic development of British Council's work in the music sector in India/ Sri Lanka
region and building and maintaining strong international partnerships across sectors in India/ Sri
Lanka and the UK
Ã± Developing strong external partnerships that lead to significant external investment in BC activities and enabling the delivery of an ambitious programme of music sector activities and events thus
strengthening cultural relationships between India/ Sri Lanka and the UK
Ã±    Leading the implementation of the music programme within India and Sri Lanka along with detailed
project plans in liaison with colleagues from India/ Sri Lanka and the UK
Ã±    Proactive management of budgets and timelines for all projects
Ã±    Ensuring systematic evaluation of projects, including developing effective systems and processes for capturing both quantitative and qualitative information about effectiveness of projects and longer
term impact
Ã±    Management of a team across India and Sri Lanka, contributing to recruitment and development/
mentoring of staff
company - British Council
description - Responsibilities
Ã± Planning and organizing logistics related to events, buildings, performers/artists and other
personnel
Ã± Marketing a performance or event through social media, direct mail, advertising, use of a website,
producing posters or publicity leaflets and attracting media coverage
Ã± Planning and managing budgets
Ã± Programming and booking performances and events, including arrangements for tours in India
Ã± Development of new projects and initiatives in consultation with arts professionals and key
stakeholders (e.g. local authorities, local government and communities, venue directors and regional partners)
Ã± Taking responsibility for operational and office management issues such as venue accessibility,
health and safety issues
Ã± Implementing and maintaining office and information systems
Ã± Providing administration support to managers and the director
Ã± Ensuring corporate and legal requirements are complied with, and reporting to the head of the unit
company - British Council
description - Responsibilities
Ã± Developing of new specific new projects and initiatives in the music, film and visual art sector in consultation with the Council and key stakeholders
Ã± Planning and managing budgets
Ã± Supporting the marketing a performance or event through social media, direct mail, advertising, use of a website, producing posters or publicity leaflets and attracting media coverage
Ã± Programming the outreach and workshops for the respective programmes.
company - AirCheck India
description - The company intended to launch stations in both these metros on August 29, 2001.
For its Mumbai FM station, WIN had the basic infrastructure that includes a studio and production facilities.
The transmission tower for the station is located in central Mumbai.

Responsibilities
Ã± Generating and researching ideas for programmes and pitching for commissions
Ã± Sourcing potential contributors and interviewees
Ã± Selecting music appropriate to the programme, the audience and the station
Ã± Producing pre-production briefings for presenters, reporters, technical staff and other contributors
Ã± Managing the logistics of getting people, resources and equipment together to the right place at the right time
Ã± undertaking editing, interviewing and reporting duties as necessary
Ã± Presenting programmes or managing presenters for both pre-recorded and recorded output
Ã± Checking that copyrights are cleared and understanding media law
Ã± Using editing and mixing software's like 'Sonic Foundry Vegas', 'Sonic Foundry Sound Forge',
'Acid', and 'Midi'.
company - Rave Magazine
description - Rave Magazine was the definitive voice of music emerging from the Indian sub-continent and the lifestyle
that surrounds it. Through exclusive reporting, a unique sensibility, and with an editorial team with over 20
years of experience in publishing, RAVE Magazine covers every genre of music emerging from the region and provides new perspectives on International music.

Responsibilities
Ã± Maintain production schedules and report on the progress
Ã± Overview the staff, manage and supervise photographers and freelance writers and generally
provide administrative support for the editor
Ã± Participated in production meetings and brain storming sessions to decide on the direction, future
trends and contents of the publication
company - Xs Events
description - Xs Events is an event management company primarily dealing with corporate clients who used different
events to increase an audience's exposure with a brand.

Responsibilities
Ã± Development, production and delivery of projects from proposal right up to delivery.
Ã± Delivering events on time, within budget
Ã± Maintaining timelines and priorities on every project
Ã± Managing supplier relationships
Ã±    Managing operational and administrative         functions to ensure specific projects are delivered
efficiently
company - Banyan Tree Communications
description - Responsibilities
Ã± Sourcing potential contributors and interviewees
Ã± Selecting music appropriate to the programme, the audience and the station
Ã± undertaking editing, interviewing and reporting duties as necessary
Ã± Checking that copyrights are cleared and understanding media law
company - French Embassy
description - on a part time basis.
company - British Council
description - Mumbai
Advice students on various academic opportunities in the United Kingdom and assisted with various
exhibitions by the British Council."
Arts,"Education Details 
January 2017    Rachana Sansad School of Interior Deign
January 2013    Holy Family High School
 Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai
Drawing & Arts & Craft Teacher 

Drawing & Arts & Craft Teacher - Ghatkopar YMCA
Skill Details 
Company Details 
company - Ghatkopar YMCA
description - for 3 Years.
â Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year."
Arts,"Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I won 3 gold medals in national karate championship.
I won 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh award ..
Represented india and Selected for world karate championship held at Croatia , Europe.
â¢"
Arts,"I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Drawing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, New Delhi & North Maharashtra University, Jalgaon. I Strengths â¢ Ability to Learn From Mistakes. * Honesty â¢ Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total Work Experience ( In Months)
Sr.       Name of Organization / College        Designation              Working Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce & Science        Asst.Professor      20/07/2015    31/05/2016        10 Months
Sr. College, Parola Dist- Jalgaon, {Political Sci.)
Maharashtra
company - Bahadarpur, Tai- Parola Dist
description - "
Arts,"â¢ Good communication skill â¢ Quick learner â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic                      Company                  No. of days    Total Hrs 
1       Presentation skill & Team    Elringklinger Automotives Pvt 1 Day           8 building Workshop             Ltd, Ranjangaon, Pune 
2           Negotiation skill & Kubler Automation Pvt Ltd., 2 days          16
Communication skill               Chakan, Pune 
3       Business Communication       Finanza Home Loans, Pimple 3 days          21 & Stress management               saudagar, Pune 
4        Team-building & Verbal       Sharvari Products Pvt Ltd, 2 days          16 communication                   Junner, Pune 7 days' 5             Entrepreneurship       Agriculture Research Centre,
Workshop        168
Development               Narayangaon, Pune (8 batches)
TOTAL                                             229

ADJOINING SKILLS: â¢ Working knowledge of Windows operating system and MS Office â¢ Communicate well in English, Hindi & Marathi.
â¢ Organized and participated in events like gathering, teachers day, fashion show and various science exhibitions at college"
Arts,"â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)"
